goos: darwin
goarch: arm64
pkg: github.com/DataDog/datadog-agent/pkg/logs/processor
cpu: Apple M4 Max
BenchmarkRegexPatterns/cannot_create_service_service_not_found/match-16                         	 3656629	       327.7 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/cannot_create_service_service_not_found/miss-16                          	29947934	        52.46 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/platform-inventory-generator_flooding_logs/match-16                      	 1000000	      1170 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/platform-inventory-generator_flooding_logs/miss-16                       	 1265655	       950.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/Produce_trigger_tenant_id_alert_uuid_logs/match-16                       	  244455	      4944 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/Produce_trigger_tenant_id_alert_uuid_logs/miss-16                        	  241422	      5031 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/LocalLog_partition_LOG_DIR_logs/match-16                                 	  456860	      2652 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/LocalLog_partition_LOG_DIR_logs/miss-16                                  	  420520	      2874 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/slack_token/match-16                                                     	 2817205	       425.1 ns/op	      97 B/op	       5 allocs/op
BenchmarkRegexPatterns/slack_token/miss-16                                                      	 3322624	       361.7 ns/op	      89 B/op	       3 allocs/op
BenchmarkRegexPatterns/cloud_google_cloud_platform_o_auth_2_0/match-16                          	 4724632	       253.8 ns/op	     179 B/op	       5 allocs/op
BenchmarkRegexPatterns/cloud_google_cloud_platform_o_auth_2_0/miss-16                           	 1479164	       813.1 ns/op	      56 B/op	       3 allocs/op
BenchmarkRegexPatterns/mfa_token/match-16                                                       	 4698592	       254.9 ns/op	     114 B/op	       5 allocs/op
BenchmarkRegexPatterns/mfa_token/miss-16                                                        	 5595172	       215.4 ns/op	      40 B/op	       3 allocs/op
BenchmarkRegexPatterns/mask_user_email/match-16                                                 	 2959428	       404.1 ns/op	      81 B/op	       5 allocs/op
BenchmarkRegexPatterns/mask_user_email/miss-16                                                  	 1662525	       722.0 ns/op	      56 B/op	       3 allocs/op
BenchmarkRegexPatterns/mask_aws_hadoop_s3_secret_access_key/match-16                            	 1233486	       971.7 ns/op	     177 B/op	       5 allocs/op
BenchmarkRegexPatterns/mask_aws_hadoop_s3_secret_access_key/miss-16                             	 1525398	       783.1 ns/op	      72 B/op	       3 allocs/op
BenchmarkRegexPatterns/date_newline/match-16                                                    	72689644	        16.39 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/date_newline/miss-16                                                     	75679339	        16.69 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/cannot_create_service_no_endpoints_found/match-16                        	  344240	      3519 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/cannot_create_service_no_endpoints_found/miss-16                         	  291723	      4131 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/KinesisStreamService_putRecords_logs/match-16                            	  111972	     10779 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/KinesisStreamService_putRecords_logs/miss-16                             	  121642	      9860 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/google_gmail_oauth/match-16                                              	 2387509	       501.1 ns/op	     113 B/op	       5 allocs/op
BenchmarkRegexPatterns/google_gmail_oauth/miss-16                                               	 1371496	       875.0 ns/op	     104 B/op	       3 allocs/op
BenchmarkRegexPatterns/social_media_instagram_o_auth_2_0/match-16                               	 3595375	       334.1 ns/op	     146 B/op	       5 allocs/op
BenchmarkRegexPatterns/social_media_instagram_o_auth_2_0/miss-16                                	 1975622	       606.6 ns/op	      72 B/op	       3 allocs/op
BenchmarkRegexPatterns/mask_aws_secret_access_key/match-16                                      	 3777768	       316.9 ns/op	     114 B/op	       5 allocs/op
BenchmarkRegexPatterns/mask_aws_secret_access_key/miss-16                                       	 5567461	       215.7 ns/op	      48 B/op	       3 allocs/op
BenchmarkRegexPatterns/Scrub_finderManagerImpl/match-16                                         	  686281	      1748 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/Scrub_finderManagerImpl/miss-16                                          	  557901	      2113 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/Clickhouse_flooding_logs/match-16                                        	  656032	      1893 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/Clickhouse_flooding_logs/miss-16                                         	  557674	      2148 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/library-content-embedder_noisy_logs/match-16                             	 1000000	      1024 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/library-content-embedder_noisy_logs/miss-16                              	 1000000	      1041 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/prn_tag/match-16                                                         	 3416984	       352.8 ns/op	     146 B/op	       5 allocs/op
BenchmarkRegexPatterns/prn_tag/miss-16                                                          	 6189832	       194.2 ns/op	      73 B/op	       3 allocs/op
BenchmarkRegexPatterns/facebook_access_token/match-16                                           	 4837274	       245.7 ns/op	     114 B/op	       5 allocs/op
BenchmarkRegexPatterns/facebook_access_token/miss-16                                            	28020550	        43.06 ns/op	      40 B/op	       3 allocs/op
BenchmarkRegexPatterns/mask_aws_hadoop_s3_secret_dot_key/match-16                               	 1378548	       869.9 ns/op	     145 B/op	       5 allocs/op
BenchmarkRegexPatterns/mask_aws_hadoop_s3_secret_dot_key/miss-16                                	 1471248	       817.1 ns/op	      88 B/op	       3 allocs/op
BenchmarkRegexPatterns/exclude_health/match-16                                                  	13768764	        87.09 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/exclude_health/miss-16                                                   	67947926	        17.36 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/phone/match-16                                                           	 4755087	       254.0 ns/op	      98 B/op	       6 allocs/op
BenchmarkRegexPatterns/phone/miss-16                                                            	 3316699	       359.9 ns/op	      40 B/op	       3 allocs/op
BenchmarkRegexPatterns/generic_query_string_value/match-16                                      	 2445580	       490.7 ns/op	     138 B/op	       7 allocs/op
BenchmarkRegexPatterns/generic_query_string_value/miss-16                                       	  990081	      1225 ns/op	      40 B/op	       3 allocs/op
BenchmarkRegexPatterns/social_security_galileo_create_account_query_param/match-16              	 5420906	       219.4 ns/op	     147 B/op	       5 allocs/op
BenchmarkRegexPatterns/social_security_galileo_create_account_query_param/miss-16               	25269518	        47.62 ns/op	      40 B/op	       3 allocs/op
BenchmarkRegexPatterns/email_address/match-16                                                   	 2265778	       528.9 ns/op	      81 B/op	       5 allocs/op
BenchmarkRegexPatterns/email_address/miss-16                                                    	  800188	      1490 ns/op	      72 B/op	       3 allocs/op
BenchmarkRegexPatterns/exclude_transcript_data_logs/match-16                                    	 1000000	      1171 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/exclude_transcript_data_logs/miss-16                                     	  872106	      1342 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/UnifiedLog_partition_sparm_logs/match-16                                 	 1213725	       989.3 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/UnifiedLog_partition_sparm_logs/miss-16                                  	  765104	      1568 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/mask_aws_access_key_id/match-16                                          	 4323234	       277.7 ns/op	      98 B/op	       5 allocs/op
BenchmarkRegexPatterns/mask_aws_access_key_id/miss-16                                           	 7966630	       151.3 ns/op	      49 B/op	       3 allocs/op
BenchmarkRegexPatterns/mask_dd_api_keys_pub/match-16                                            	 3620503	       331.2 ns/op	     146 B/op	       5 allocs/op
BenchmarkRegexPatterns/mask_dd_api_keys_pub/miss-16                                             	23609517	        51.25 ns/op	      72 B/op	       3 allocs/op
BenchmarkRegexPatterns/update-to-java17/match-16                                                	  872679	      1390 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/update-to-java17/miss-16                                                 	  806767	      1451 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/github_tokens/match-16                                                   	 5600978	       215.2 ns/op	      98 B/op	       5 allocs/op
BenchmarkRegexPatterns/github_tokens/miss-16                                                    	13528957	        89.93 ns/op	      41 B/op	       3 allocs/op
BenchmarkRegexPatterns/exclude_traces_export_connection_refused_logs/match-16                   	 2543898	       469.0 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/exclude_traces_export_connection_refused_logs/miss-16                    	 2371544	       508.2 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/mask_reserved_word_hostname/match-16                                     	 5867107	       203.6 ns/op	      90 B/op	       6 allocs/op
BenchmarkRegexPatterns/mask_reserved_word_hostname/miss-16                                      	61867628	        19.58 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/skipping_service_no_endpoints_found/match-16                             	  364983	      3283 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/skipping_service_no_endpoints_found/miss-16                              	  334840	      3589 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/vpa_skipping_object_due_to_mode/match-16                                 	  218259	      5511 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/vpa_skipping_object_due_to_mode/miss-16                                  	  186618	      6451 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/removed_noisy_logs_from_DD_trace_agent/match-16                          	 1274865	       941.3 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/removed_noisy_logs_from_DD_trace_agent/miss-16                           	 1273717	       943.3 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/phone_tags/match-16                                                      	 2209566	       543.0 ns/op	     194 B/op	       8 allocs/op
BenchmarkRegexPatterns/phone_tags/miss-16                                                       	 2336546	       516.6 ns/op	      48 B/op	       3 allocs/op
BenchmarkRegexPatterns/mailto/match-16                                                          	 3013672	       399.0 ns/op	      97 B/op	       5 allocs/op
BenchmarkRegexPatterns/mailto/miss-16                                                           	 1636438	       729.8 ns/op	      56 B/op	       3 allocs/op
BenchmarkRegexPatterns/phone_lists/match-16                                                     	 2063894	       579.1 ns/op	     170 B/op	       7 allocs/op
BenchmarkRegexPatterns/phone_lists/miss-16                                                      	 1644409	       730.9 ns/op	      72 B/op	       3 allocs/op
BenchmarkRegexPatterns/k8s_filter8/match-16                                                     	 3754735	       320.4 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/k8s_filter8/miss-16                                                      	68300342	        17.75 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/exclude_debug/match-16                                                   	 2790117	       429.2 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/exclude_debug/miss-16                                                    	 3050688	       403.8 ns/op	       8 B/op	       1 allocs/op
