benchmark,ns_per_op,bytes_per_op,allocs_per_op
TimeSamplerHook/batch32_publish/1sub,2769.0,20.0,0
TimeSamplerHook/batch32_publish/1sub,2764.0,23.0,0
TimeSamplerHook/batch32_publish/1sub,2803.0,30.0,0
TimeSamplerHook/batch32_publish/1sub,2826.0,38.0,0
TimeSamplerHook/batch32_publish/1sub,2861.0,40.0,0
TimeSamplerHook/batch32_publish/1sub,2766.0,23.0,0
TimeSamplerHook/batch32_publish/1sub,2795.0,24.0,0
TimeSamplerHook/batch32_publish/1sub,2763.0,20.0,0
TimeSamplerHook/batch32_publish/1sub,2768.0,22.0,0
TimeSamplerHook/batch32_publish/1sub,2751.0,20.0,0
TimeSamplerHook/batch32_publish/1sub,2776.0,28.0,0
TimeSamplerHook/batch32_publish/1sub,2779.0,24.0,0
TimeSamplerHook/batch32_publish/1sub,2776.0,28.0,0
TimeSamplerHook/batch32_publish/1sub,2773.0,28.0,0
TimeSamplerHook/batch32_publish/1sub,2779.0,24.0,0
TimeSamplerHook/batch32_publish/1sub,2765.0,22.0,0
TimeSamplerHook/batch32_publish/1sub,2776.0,20.0,0
TimeSamplerHook/batch32_publish/1sub,2759.0,22.0,0
TimeSamplerHook/batch32_publish/1sub,2784.0,28.0,0
TimeSamplerHook/batch32_publish/1sub,2761.0,28.0,0
TimeSamplerHook/batch32_publish/1sub,2773.0,28.0,0
TimeSamplerHook/batch32_publish/1sub,2870.0,37.0,0
TimeSamplerHook/batch32_publish/1sub,2765.0,18.0,0
TimeSamplerHook/batch32_publish/1sub,2764.0,22.0,0
TimeSamplerHook/batch32_publish/1sub,2758.0,22.0,0
TimeSamplerHook/batch32_publish/1sub,2758.0,22.0,0
TimeSamplerHook/batch32_publish/1sub,2793.0,30.0,0
TimeSamplerHook/batch32_publish/1sub,2776.0,30.0,0
TimeSamplerHook/batch32_publish/1sub,2773.0,27.0,0
TimeSamplerHook/batch32_publish/1sub,2768.0,29.0,0
TimeSamplerHook/batch32_publish/1sub,2765.0,26.0,0
TimeSamplerHook/batch32_publish/1sub,2772.0,26.0,0
TimeSamplerHook/batch32_publish/1sub,2762.0,22.0,0
TimeSamplerHook/batch32_publish/1sub,2786.0,23.0,0
TimeSamplerHook/batch32_publish/1sub,2758.0,22.0,0
TimeSamplerHook/batch32_publish/1sub,2765.0,24.0,0
TimeSamplerHook/batch32_publish/1sub,2763.0,28.0,0
TimeSamplerHook/batch32_publish/1sub,2801.0,37.0,0
TimeSamplerHook/batch32_publish/1sub,2800.0,34.0,0
TimeSamplerHook/batch32_publish/1sub,2759.0,23.0,0
TimeSamplerHook/batch32_publish/1sub,2759.0,21.0,0
TimeSamplerHook/batch32_publish/1sub,2754.0,23.0,0
TimeSamplerHook/batch32_publish/1sub,2768.0,20.0,0
TimeSamplerHook/batch32_publish/1sub,2796.0,31.0,0
TimeSamplerHook/batch32_publish/1sub,2987.0,32.0,0
TimeSamplerHook/batch32_publish/1sub,2922.0,25.0,0
TimeSamplerHook/batch32_publish/1sub,2909.0,27.0,0
TimeSamplerHook/batch32_publish/1sub,2789.0,25.0,0
TimeSamplerHook/batch32_publish/1sub,2849.0,13.0,0
TimeSamplerHook/sample_only/5sub,81.57,0.0,0
TimeSamplerHook/sample_only/5sub,81.68,0.0,0
TimeSamplerHook/sample_only/5sub,81.86,0.0,0
TimeSamplerHook/sample_only/5sub,82.08,0.0,0
TimeSamplerHook/sample_only/5sub,81.31,0.0,0
TimeSamplerHook/sample_only/5sub,82.13,0.0,0
TimeSamplerHook/sample_only/5sub,82.3,0.0,0
TimeSamplerHook/sample_only/5sub,80.69,0.0,0
TimeSamplerHook/sample_only/5sub,81.12,0.0,0
TimeSamplerHook/sample_only/5sub,80.94,0.0,0
TimeSamplerHook/sample_only/5sub,81.27,0.0,0
TimeSamplerHook/sample_only/5sub,81.64,0.0,0
TimeSamplerHook/sample_only/5sub,81.93,0.0,0
TimeSamplerHook/sample_only/5sub,81.67,0.0,0
TimeSamplerHook/sample_only/5sub,81.63,0.0,0
TimeSamplerHook/sample_only/5sub,81.05,0.0,0
TimeSamplerHook/sample_only/5sub,80.92,0.0,0
TimeSamplerHook/sample_only/5sub,81.87,0.0,0
TimeSamplerHook/sample_only/5sub,85.63,0.0,0
TimeSamplerHook/sample_only/5sub,81.62,0.0,0
TimeSamplerHook/sample_only/5sub,81.53,0.0,0
TimeSamplerHook/sample_only/5sub,81.77,0.0,0
TimeSamplerHook/sample_only/5sub,82.61,0.0,0
TimeSamplerHook/sample_only/5sub,81.45,0.0,0
TimeSamplerHook/sample_only/5sub,81.24,0.0,0
TimeSamplerHook/sample_only/5sub,81.2,0.0,0
TimeSamplerHook/sample_only/5sub,81.56,0.0,0
TimeSamplerHook/sample_only/5sub,81.29,0.0,0
TimeSamplerHook/sample_only/5sub,81.54,0.0,0
TimeSamplerHook/sample_only/5sub,81.17,0.0,0
TimeSamplerHook/sample_only/5sub,82.11,0.0,0
TimeSamplerHook/sample_only/5sub,81.35,0.0,0
TimeSamplerHook/sample_only/5sub,81.64,0.0,0
TimeSamplerHook/sample_only/5sub,81.62,0.0,0
TimeSamplerHook/sample_only/5sub,81.68,0.0,0
TimeSamplerHook/sample_only/5sub,81.79,0.0,0
TimeSamplerHook/sample_only/5sub,81.74,0.0,0
TimeSamplerHook/sample_only/5sub,81.78,0.0,0
TimeSamplerHook/sample_only/5sub,82.46,0.0,0
TimeSamplerHook/sample_only/5sub,85.9,0.0,0
TimeSamplerHook/sample_only/5sub,85.5,0.0,0
TimeSamplerHook/sample_only/5sub,81.74,0.0,0
TimeSamplerHook/sample_only/5sub,81.98,0.0,0
TimeSamplerHook/sample_only/5sub,81.59,0.0,0
