goos: darwin
goarch: arm64
pkg: github.com/DataDog/datadog-agent/pkg/logs/processor
cpu: Apple M4 Max
BenchmarkProcessing_RealWorldRules/K8sMLPredict_Match-16            	  745641	      1596 ns/op	    3152 B/op	      34 allocs/op
BenchmarkProcessing_RealWorldRules/K8sMLPredict_Match-16            	  836630	      1589 ns/op	    3152 B/op	      34 allocs/op
BenchmarkProcessing_RealWorldRules/K8sMLPredict_Match-16            	  727666	      1605 ns/op	    3152 B/op	      34 allocs/op
BenchmarkProcessing_RealWorldRules/Rails20X_Match-16                	  818390	      1502 ns/op	    3008 B/op	      34 allocs/op
BenchmarkProcessing_RealWorldRules/Rails20X_Match-16                	  714453	      1499 ns/op	    3008 B/op	      34 allocs/op
BenchmarkProcessing_RealWorldRules/Rails20X_Match-16                	  833036	      1487 ns/op	    3008 B/op	      34 allocs/op
BenchmarkProcessing_RealWorldRules/Rails20X_Match-16                	  828532	      1510 ns/op	    3008 B/op	      34 allocs/op
BenchmarkProcessing_RealWorldRules/Rails20X_Match-16                	  713787	      1502 ns/op	    3008 B/op	      34 allocs/op
BenchmarkProcessing_RealWorldRules/Rails201_Match-16                	  745387	      1642 ns/op	    3224 B/op	      35 allocs/op
BenchmarkProcessing_RealWorldRules/Rails201_Match-16                	  702741	      1681 ns/op	    3224 B/op	      35 allocs/op
BenchmarkProcessing_RealWorldRules/Rails201_Match-16                	  690528	      1675 ns/op	    3224 B/op	      35 allocs/op
BenchmarkProcessing_RealWorldRules/Rails201_Match-16                	  701113	      1690 ns/op	    3224 B/op	      35 allocs/op
BenchmarkProcessing_RealWorldRules/Rails201_Match-16                	  681103	      1667 ns/op	    3224 B/op	      35 allocs/op
BenchmarkProcessing_RealWorldRules/IncludeSSHD_Match-16             	  769158	      1833 ns/op	    3600 B/op	      35 allocs/op
BenchmarkProcessing_RealWorldRules/IncludeSSHD_Match-16             	  667722	      1806 ns/op	    3600 B/op	      35 allocs/op
BenchmarkProcessing_RealWorldRules/IncludeSSHD_Match-16             	  676100	      1834 ns/op	    3600 B/op	      35 allocs/op
BenchmarkProcessing_RealWorldRules/IncludeSSHD_Match-16             	  681273	      1828 ns/op	    3600 B/op	      35 allocs/op
BenchmarkProcessing_RealWorldRules/IncludeSSHD_Match-16             	  692168	      1843 ns/op	    3600 B/op	      35 allocs/op
BenchmarkProcessing_RealWorldRules/IncludeSnoopy_Match-16           	  642646	      1889 ns/op	    3616 B/op	      36 allocs/op
BenchmarkProcessing_RealWorldRules/IncludeSnoopy_Match-16           	  613629	      1920 ns/op	    3616 B/op	      36 allocs/op
BenchmarkProcessing_RealWorldRules/IncludeSnoopy_Match-16           	  644114	      1913 ns/op	    3616 B/op	      36 allocs/op
BenchmarkProcessing_RealWorldRules/IncludeSnoopy_Match-16           	  656731	      1914 ns/op	    3616 B/op	      36 allocs/op
BenchmarkProcessing_RealWorldRules/IncludeSnoopy_Match-16           	  651510	      1881 ns/op	    3616 B/op	      36 allocs/op
BenchmarkProcessing_RealWorldRules/RealWorld_PrefilterMiss1-16      	  572380	      2006 ns/op	    3736 B/op	      35 allocs/op
BenchmarkProcessing_RealWorldRules/RealWorld_PrefilterMiss1-16      	  585697	      2029 ns/op	    3736 B/op	      35 allocs/op
BenchmarkProcessing_RealWorldRules/RealWorld_PrefilterMiss1-16      	  641164	      2013 ns/op	    3736 B/op	      35 allocs/op
BenchmarkProcessing_RealWorldRules/RealWorld_PrefilterMiss1-16      	  647049	      2049 ns/op	    3736 B/op	      35 allocs/op
BenchmarkProcessing_RealWorldRules/RealWorld_PrefilterMiss1-16      	  576712	      2008 ns/op	    3736 B/op	      35 allocs/op
BenchmarkProcessing_RealWorldRules/RealWorld_PrefilterMiss2-16      	  717321	      1802 ns/op	    3352 B/op	      34 allocs/op
BenchmarkProcessing_RealWorldRules/RealWorld_PrefilterMiss2-16      	  698934	      1798 ns/op	    3352 B/op	      34 allocs/op
BenchmarkProcessing_RealWorldRules/RealWorld_PrefilterMiss2-16      	  621498	      1838 ns/op	    3352 B/op	      34 allocs/op
BenchmarkProcessing_RealWorldRules/RealWorld_PrefilterMiss2-16      	  659299	      1801 ns/op	    3352 B/op	      34 allocs/op
BenchmarkProcessing_RealWorldRules/RealWorld_PrefilterMiss2-16      	  616716	      1849 ns/op	    3352 B/op	      34 allocs/op
BenchmarkProcessing_AllRealWorldRules/APIKey_Match-16               	  380442	      3295 ns/op	    6064 B/op	      49 allocs/op
BenchmarkProcessing_AllRealWorldRules/APIKey_Match-16               	  334941	      3334 ns/op	    6064 B/op	      49 allocs/op
BenchmarkProcessing_AllRealWorldRules/APIKey_Match-16               	  392226	      3239 ns/op	    6064 B/op	      49 allocs/op
BenchmarkProcessing_AllRealWorldRules/APIKey_Match-16               	  360073	      3289 ns/op	    6064 B/op	      49 allocs/op
BenchmarkProcessing_AllRealWorldRules/APIKey_Match-16               	  366530	      3332 ns/op	    6064 B/op	      49 allocs/op
BenchmarkProcessing_AllRealWorldRules/Hostname_Match-16             	  427452	      2758 ns/op	    4720 B/op	      50 allocs/op
BenchmarkProcessing_AllRealWorldRules/Hostname_Match-16             	  400234	      2696 ns/op	    4720 B/op	      50 allocs/op
BenchmarkProcessing_AllRealWorldRules/Hostname_Match-16             	  431305	      2729 ns/op	    4720 B/op	      50 allocs/op
BenchmarkProcessing_AllRealWorldRules/Hostname_Match-16             	  414086	      2804 ns/op	    4720 B/op	      50 allocs/op
BenchmarkProcessing_AllRealWorldRules/Hostname_Match-16             	  422158	      2786 ns/op	    4720 B/op	      50 allocs/op
BenchmarkProcessing_AllRealWorldRules/WarningRoot_Match-16          	  599793	      2177 ns/op	    4008 B/op	      38 allocs/op
BenchmarkProcessing_AllRealWorldRules/WarningRoot_Match-16          	  539730	      2126 ns/op	    4008 B/op	      38 allocs/op
BenchmarkProcessing_AllRealWorldRules/WarningRoot_Match-16          	  550723	      2152 ns/op	    4008 B/op	      38 allocs/op
BenchmarkProcessing_AllRealWorldRules/WarningRoot_Match-16          	  553855	      2133 ns/op	    4008 B/op	      38 allocs/op
BenchmarkProcessing_AllRealWorldRules/WarningRoot_Match-16          	  521848	      2207 ns/op	    4008 B/op	      38 allocs/op
BenchmarkProcessing_AllRealWorldRules/SSHD_Match-16                 	  693771	      1837 ns/op	    3600 B/op	      35 allocs/op
BenchmarkProcessing_AllRealWorldRules/SSHD_Match-16                 	  614211	      1862 ns/op	    3600 B/op	      35 allocs/op
BenchmarkProcessing_AllRealWorldRules/SSHD_Match-16                 	  623733	      1912 ns/op	    3600 B/op	      35 allocs/op
BenchmarkProcessing_AllRealWorldRules/SSHD_Match-16                 	  612223	      1938 ns/op	    3600 B/op	      35 allocs/op
BenchmarkProcessing_AllRealWorldRules/SSHD_Match-16                 	  607408	      1931 ns/op	    3600 B/op	      35 allocs/op
BenchmarkProcessing_AllRealWorldRules/K8sMLPing_Match-16            	  743467	      1471 ns/op	    2776 B/op	      30 allocs/op
BenchmarkProcessing_AllRealWorldRules/K8sMLPing_Match-16            	  747363	      1487 ns/op	    2776 B/op	      30 allocs/op
BenchmarkProcessing_AllRealWorldRules/K8sMLPing_Match-16            	  756817	      1476 ns/op	    2776 B/op	      30 allocs/op
BenchmarkProcessing_AllRealWorldRules/K8sMLPing_Match-16            	  786259	      1457 ns/op	    2776 B/op	      30 allocs/op
BenchmarkProcessing_AllRealWorldRules/K8sMLPing_Match-16            	  878911	      1480 ns/op	    2776 B/op	      30 allocs/op
BenchmarkProcessing_AllRealWorldRules/Rails20X_Match-16             	  762514	      1477 ns/op	    2768 B/op	      32 allocs/op
BenchmarkProcessing_AllRealWorldRules/Rails20X_Match-16             	  847434	      1504 ns/op	    2768 B/op	      32 allocs/op
BenchmarkProcessing_AllRealWorldRules/Rails20X_Match-16             	  814336	      1486 ns/op	    2768 B/op	      32 allocs/op
BenchmarkProcessing_AllRealWorldRules/Rails20X_Match-16             	  754868	      1487 ns/op	    2768 B/op	      32 allocs/op
BenchmarkProcessing_AllRealWorldRules/Rails20X_Match-16             	  871509	      1478 ns/op	    2768 B/op	      32 allocs/op
BenchmarkProcessing_AllRealWorldRules/PrefilterMiss-16              	  542550	      2013 ns/op	    3736 B/op	      35 allocs/op
BenchmarkProcessing_AllRealWorldRules/PrefilterMiss-16              	  596392	      2066 ns/op	    3736 B/op	      35 allocs/op
BenchmarkProcessing_AllRealWorldRules/PrefilterMiss-16              	  575133	      2048 ns/op	    3736 B/op	      35 allocs/op
BenchmarkProcessing_AllRealWorldRules/PrefilterMiss-16              	  561591	      2064 ns/op	    3736 B/op	      35 allocs/op
BenchmarkProcessing_AllRealWorldRules/PrefilterMiss-16              	  608842	      2045 ns/op	    3736 B/op	      35 allocs/op
PASS
ok  	github.com/DataDog/datadog-agent/pkg/logs/processor	263.684s
